بِسْمِ اللَّٰهِ الرَّحْمَـٰنِ الرَّحِيمِ || bi <wasl> s mi <space> <wasl> l laa hi <space> <wasl> r ra ħ maa ni <space> <wasl> r ra ħii mi
أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّٰهُ مُحِيطٌ بِالْكَافِرِينَ || ʔa w <space> ka sˤa y yi bin <space> m mi na <space> <wasl> s sa maa ʔi <space> fii hi <space> ðˤu lu maa tun <space> wa ra ʕ dun <space> wa ba r qun <space> ya j ʕa luu na <space> ʔa sˤaa bi ʕa hu m <space> fii <space> ʔaa ðaa ni hi m <space> m mi na <space> <wasl> sˤ sˤa waa ʕi qi <space> ħa ða ra <space> <wasl> l ma w ti <space> wa <wasl> l laa hu <space> mu ħii tˤun <space> bi <wasl> l kaa fi rii na
يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّٰهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّٰهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ || ya kaa du <space> <wasl> l ba r qu <space> ya x tˤa fu <space> ʔa b sˤaa ra hu m <space> ku l la maa <space> ʔa dˤaa ʔa <space> la hu m <space> m ma ʃa w <space> fii hi <space> wa ʔi ðaa <space> ʔa ðˤ la ma <space> ʕa la y hi m <space> qaa muu <space> wa la w <space> ʃaa ʔa <space> <wasl> l laa hu <space> la ða ha ba <space> bi <wasl> sa m ʕi hi m <space> wa ʔa b sˤaa ri hi m <space> ʔi n na <space> <wasl> l laa ha <space> ʕa laa <space> ku l li <space> ʃa y ʔin <space> qa dii run
يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ || yaa <space> ʔa y yu haa <space> <wasl> n naa su <space> ʕ bu duu <space> ra b ba ku mu <space> <wasl> l la ðii <space> xa la qa ku m <space> wa <wasl> l la ðii na <space> mi n <space> qa b li ku m <space> la ʕa l la ku m <space> ta t ta quu na
الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ || <wasl> l la ðii <space> ja ʕa la <space> la ku mu <space> <wasl> l ʔa r dˤa <space> fi raa ʃan <space> wa <wasl> s sa maa ʔa <space> bi naa ʔan <space> wa ʔa n za la <space> mi na <space> <wasl> s sa maa ʔi <space> maa ʔan <space> fa ʔa x ra ja <space> bi hii <space> mi na <space> <wasl> θ θa ma raa ti <space> ri z qan <space> l la ku m <space> fa laa <space> ta j ʕa luu <space> li l laa hi <space> ʔa n daa dan <space> wa ʔa n tu m <space> ta ʕ la muu na
وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَكُم مِّن دُونِ اللَّٰهِ إِن كُنتُمْ صَادِقِينَ || wa ʔi n <space> ku n tu m <space> fii <space> ra y bin <space> m mi m maa <space> na z za l naa <space> ʕa laa <space> ʕa b di naa <space> fa ʔ tuu <space> bi suu ra Tin <space> m mi n <space> m mi θ li hii <space> wa <wasl> d ʕuu <space> ʃu ha daa ʔa ku m <space> m mi n <space> duu ni <space> <wasl> l laa hi <space> ʔi n <space> ku n tu m <space> sˤaa di qii na
فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ || fa ʔi n <space> l la m <space> ta f ʕa luu <space> wa la n <space> ta f ʕa luu <space> fa <wasl> t ta quu <space> <wasl> n naa ra <space> <wasl> l la tii <space> wa quu du haa <space> <wasl> n naa su <space> wa <wasl> l ħi jaa ra Tu <space> ʔu ʕi d da t <space> li <wasl> l kaa fi rii na
وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا ۙ قَالُوا هَـٰذَا الَّذِي رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ || wa ba ʃ ʃi ri <space> <wasl> l la ðii na <space> ʔaa ma nuu <space> wa ʕa mi luu <space> <wasl> sˤ sˤaa li ħaa ti <space> ʔa n na <space> la hu m <space> ja n naa tin <space> ta j ri yii <space> mi n <space> ta ħ ti haa <space> <wasl> l ʔa n haa ru <space> ku l la maa <space> ru zi quu <space> mi n haa <space> mi n <space> θa ma ra Tin <space> r ri z qan <space> qaa luu <space> haa ðaa <space> <wasl> l la ðii <space> ru zi q naa <space> mi n <space> qa b lu <space> wa ʔu tuu <space> bi hii <space> mu ta ʃaa bi han <space> wa la hu m <space> fii haa <space> ʔa z waa jun <space> m mu tˤa h ha ra Tun <space> wa hu m <space> fii haa <space> xaa li duu na
إِنَّ اللَّٰهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّٰهُ بِهَـٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ || ʔi n na <space> <wasl> l laa ha <space> laa <space> ya s ta ħ yi yii <space> ʔa n <space> ya dˤ ri ba <space> ma θa lan <space> m maa <space> ba ʕuu dˤa Tan <space> fa maa <space> fa w qa haa <space> fa ʔa m maa <space> <wasl> l la ðii na <space> ʔaa ma nuu <space> fa ya ʕ la muu na <space> ʔa n na hu <space> <wasl> l ħa q qu <space> mi n <space> r ra b bi hi m <space> wa ʔa m maa <space> <wasl> l la ðii na <space> ka fa ruu <space> fa ya quu luu na <space> maa ðaa <space> ʔa raa da <space> <wasl> l laa hu <space> bi haa ðaa <space> ma θa lan <space> yu dˤi l lu <space> bi hii <space> ka θii ran <space> wa ya h di yii <space> bi hii <space> ka θii ran <space> wa maa <space> yu dˤi l lu <space> bi hii <space> ʔi l laa <space> <wasl> l faa si qii na
الَّذِينَ يَنقُضُونَ عَهْدَ اللَّٰهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّٰهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَـٰئِكَ هُمُ الْخَاسِرُونَ || <wasl> l la ðii na <space> ya n qu dˤuu na <space> ʕa h da <space> <wasl> l laa hi <space> mi n <space> ba ʕ di <space> mii θaa qi hii <space> wa ya q tˤa ʕuu na <space> maa <space> ʔa ma ra <space> <wasl> l laa hu <space> bi hii <space> ʔa n <space> yuu sˤa la <space> wa yu f si duu na <space> fii <space> <wasl> l ʔa r dˤi <space> ʔuu laa ʔi ka <space> hu mu <space> <wasl> l xaa si ruu na
كَيْفَ تَكْفُرُونَ بِاللَّٰهِ وَكُنتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ || ka y fa <space> ta k fu ruu na <space> bi <wasl> l laa hi <space> wa ku n tu m <space> ʔa m waa tan <space> fa ʔa ħ yaa ku m <space> θu m ma <space> yu mii tu ku m <space> θu m ma <space> yu ħ yi yii ku m <space> θu m ma <space> ʔi la y hi <space> tu r ja ʕuu na
هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ || hu wa <space> <wasl> l la ðii <space> xa la qa <space> la ku m <space> m maa <space> fii <space> <wasl> l ʔa r dˤi <space> ja mii ʕan <space> θu m ma <space> <wasl> s ta waa <space> ʔi laa <space> <wasl> s sa maa ʔi <space> fa sa w waa hu n na <space> sa b ʕa <space> sa maa waa tin <space> wa hu wa <space> bi ku l li <space> ʃa y ʔin <space> ʕa lii mun
وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ || wa ʔi ð <space> qaa la <space> ra b bu ka <space> li <wasl> l ma laa ʔi ka Ti <space> ʔi n nii <space> jaa ʕi lun <space> fii <space> <wasl> l ʔa r dˤi <space> xa lii fa Tan <space> qaa luu <space> ʔa ta j ʕa lu <space> fii haa <space> ma n <space> yu f si du <space> fii haa <space> wa ya s fi ku <space> <wasl> d di maa ʔa <space> wa na ħ nu <space> nu sa b bi ħu <space> bi ħa m di ka <space> wa nu qa d di su <space> la ka <space> qaa la <space> ʔi n nii <space> ʔa ʕ la mu <space> maa <space> laa <space> ta ʕ la muu na
وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاءِ هَـٰؤُلَاءِ إِن كُنتُمْ صَادِقِينَ || wa ʕa l la ma <space> ʔaa da ma <space> <wasl> l ʔa s maa ʔa <space> ku l la haa <space> θu m ma <space> ʕa ra dˤa hu m <space> ʕa laa <space> <wasl> l ma laa ʔi ka Ti <space> fa qaa la <space> ʔa n bi ʔuu nii <space> bi ʔa s maa ʔi <space> haa ʔu laa ʔi <space> ʔi n <space> ku n tu m <space> sˤaa di qii na
قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ || qaa luu <space> su b ħaa na ka <space> laa <space> ʕi l ma <space> la naa <space> ʔi l laa <space> maa <space> ʕa l la m ta naa <space> ʔi n na ka <space> ʔa n ta <space> <wasl> l ʕa lii mu <space> <wasl> l ħa kii mu
قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ || qaa la <space> yaa <space> ʔaa da mu <space> ʔa n bi ʔ hu m <space> bi ʔa s maa ʔi hi m <space> fa la m maa <space> ʔa n ba ʔa hu m <space> bi ʔa s maa ʔi hi m <space> qaa la <space> ʔa la m <space> ʔa qu l <space> l la ku m <space> ʔi n nii <space> ʔa ʕ la mu <space> ɣa y ba <space> <wasl> s sa maa waa ti <space> wa <wasl> l ʔa r dˤi <space> wa ʔa ʕ la mu <space> maa <space> tu b duu na <space> wa maa <space> ku n tu m <space> ta k tu muu na
وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ || wa ʔi ð <space> qu l naa <space> li <wasl> l ma laa ʔi ka Ti <space> s ju duu <space> li ʔaa da ma <space> fa sa ja duu <space> ʔi l laa <space> ʔi b li yii sa <space> ʔa baa <space> wa <wasl> s ta k ba ra <space> wa kaa na <space> mi na <space> <wasl> l kaa fi rii na
وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَـٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ || wa qu l naa <space> yaa <space> ʔaa da mu <space> s ku n <space> ʔa n ta <space> wa za w ju ka <space> <wasl> l ja n na Ta <space> wa ku laa <space> mi n haa <space> ra ɣa dan <space> ħa y θu <space> ʃi ʔ tu maa <space> wa laa <space> ta q ra baa <space> haa ði hi <space> <wasl> ʃ ʃa ja ra Ta <space> fa ta kuu naa <space> mi na <space> <wasl> ðˤ ðˤaa li mii na
فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۖ وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَىٰ حِينٍ || fa ʔa za l la hu maa <space> <wasl> ʃ ʃa y tˤaa nu <space> ʕa n haa <space> fa ʔa x ra ja hu maa <space> mi m maa <space> kaa naa <space> fii hi <space> wa qu l naa <space> <wasl> h bi tˤuu <space> ba ʕ dˤu ku m <space> li ba ʕ dˤin <space> ʕa du w wun <space> wa la ku m <space> fii <space> <wasl> l ʔa r dˤi <space> mu s ta qa r run <space> wa ma taa ʕun <space> ʔi laa <space> ħii nin
فَتَلَقَّىٰ آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ || fa ta la q qaa <space> ʔaa da mu <space> mi n <space> r ra b bi hii <space> ka li maa tin <space> fa taa ba <space> ʕa la y hi <space> ʔi n na huu <space> hu wa <space> <wasl> t ta w waa bu <space> <wasl> r ra ħii mu
قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا ۖ فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ || qu l naa <space> <wasl> h bi tˤuu <space> mi n haa <space> ja mii ʕan <space> fa ʔi m maa <space> ya ʔ ti ya n na ku m <space> m mi n nii <space> hu dan <space> fa ma n <space> ta bi ʕa <space> hu daa ya <space> fa laa <space> xa w fun <space> ʕa la y hi m <space> wa laa <space> hu m <space> ya ħ za nuu na
وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَـٰئِكَ أَصْحَابُ النَّارِ ۖ هُمْ فِيهَا خَالِدُونَ || wa <wasl> l la ðii na <space> ka fa ruu <space> wa ka ð ða buu <space> bi ʔaa yaa ti naa <space> ʔuu laa ʔi ka <space> ʔa sˤ ħaa bu <space> <wasl> n naa ri <space> hu m <space> fii haa <space> xaa li duu na
يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا بِعَهْدِي أُوفِ بِعَهْدِكُمْ وَإِيَّايَ فَارْهَبُونِ || yaa <space> ba nii <space> ʔi s raa ʔii la <space> <wasl> ð ku ruu <space> ni ʕ ma ti ya <space> <wasl> l la tii <space> ʔa n ʕa m tu <space> ʕa la y ku m <space> wa ʔa w fuu <space> bi ʕa h di yii <space> ʔuu fi <space> bi ʕa h di ku m <space> wa ʔi y yaa ya <space> fa r ha buu ni
وَآمِنُوا بِمَا أَنزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُونُوا أَوَّلَ كَافِرٍ بِهِ ۖ وَلَا تَشْتَرُوا بِآيَاتِي ثَمَنًا قَلِيلًا وَإِيَّايَ فَاتَّقُونِ || wa ʔaa mi nuu <space> bi maa <space> ʔa n za l tu <space> mu sˤa d di qan <space> l li maa <space> ma ʕa ku m <space> wa laa <space> ta kuu nuu <space> ʔa w wa la <space> kaa fi rin <space> bi hii <space> wa laa <space> ta ʃ ta ruu <space> bi ʔaa yaa tii <space> θa ma nan <space> qa lii lan <space> wa ʔi y yaa ya <space> faa t ta quu ni
وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَأَنتُمْ تَعْلَمُونَ || wa laa <space> ta l bi suu <space> <wasl> l ħa q qa <space> bi <wasl> l baa tˤi li <space> wa ta k tu muu <space> <wasl> l ħa q qa <space> wa ʔa n tu m <space> ta ʕ la muu na
وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ || wa ʔa qii muu <space> <wasl> sˤ sˤa laa Ta <space> wa ʔaa tuu <space> <wasl> z za kaa Ta <space> wa <wasl> r ka ʕuu <space> ma ʕa <space> <wasl> r raa ki ʕii na
أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ الْكِتَابَ ۚ أَفَلَا تَعْقِلُونَ || ʔa ta ʔ mu ruu na <space> <wasl> n naa sa <space> bi <wasl> l bi r ri <space> wa ta n sa w na <space> ʔa n fu sa ku m <space> wa ʔa n tu m <space> ta t luu na <space> <wasl> l ki taa ba <space> ʔa fa laa <space> ta ʕ qi luu na
وَاسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ ۚ وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى الْخَاشِعِينَ || wa s ta ʕii nuu <space> bi <wasl> sˤ sˤa b ri <space> wa <wasl> sˤ sˤa laa Ti <space> wa ʔi n na haa <space> la ka bii ra Tun <space> ʔi l laa <space> ʕa laa <space> <wasl> l xaa ʃi ʕii na
